Event,Consumption (kWh),Calendar Year,Earliest Date,Market Type
New Year’s Day,14115.6551634,2019,2019-01-01 00:00:00,Commercial
New Year’s Day,35521.54018099999,2019,2019-01-01 00:00:00,Large
New Year’s Day,29789.893744500077,2019,2019-01-01 00:00:00,Residential
Australia Day,17838.7564701,2019,2019-01-26 00:00:00,Commercial
Australia Day,44414.94398299999,2019,2019-01-26 00:00:00,Large
Australia Day,35159.98930060004,2019,2019-01-26 00:00:00,Residential
Labour Day,14300.158183799998,2019,2019-03-11 00:00:00,Commercial
Labour Day,39132.84020200001,2019,2019-03-11 00:00:00,Large
Labour Day,26250.1447637001,2019,2019-03-11 00:00:00,Residential
Good Friday,13423.642651500199,2019,2019-04-19 00:00:00,Commercial
Good Friday,35018.09912300001,2019,2019-04-19 00:00:00,Large
Good Friday,26773.69057609996,2019,2019-04-19 00:00:00,Residential
Easter Sunday,13506.197984700199,2019,2019-04-21 00:00:00,Commercial
Easter Sunday,35508.79247100001,2019,2019-04-21 00:00:00,Large
Easter Sunday,25826.129911499942,2019,2019-04-21 00:00:00,Residential
Easter Monday,13293.7829661001,2019,2019-04-22 00:00:00,Commercial
Easter Monday,35411.71263299999,2019,2019-04-22 00:00:00,Large
Easter Monday,27971.548759699952,2019,2019-04-22 00:00:00,Residential
ANZAC Day,13627.427066900009,2019,2019-04-25 00:00:00,Commercial
ANZAC Day,36808.554353,2019,2019-04-25 00:00:00,Large
ANZAC Day,28487.92555829998,2019,2019-04-25 00:00:00,Residential
Queen’s Birthday,13785.894575600001,2019,2019-06-10 00:00:00,Commercial
Queen’s Birthday,36752.673886,2019,2019-06-10 00:00:00,Large
Queen’s Birthday,36845.78034850009,2019,2019-06-10 00:00:00,Residential
AFL Grand Final Friday,14579.399301300002,2019,2019-09-27 00:00:00,Commercial
AFL Grand Final Friday,38485.276635,2019,2019-09-27 00:00:00,Large
AFL Grand Final Friday,34807.52052839994,2019,2019-09-27 00:00:00,Residential
Melbourne Cup,13413.1519935333,2019,2019-11-05 00:00:00,Commercial
Melbourne Cup,37351.35588499998,2019,2019-11-05 00:00:00,Large
Melbourne Cup,29032.355388100077,2019,2019-11-05 00:00:00,Residential
Christmas Day,13065.285524499988,2019,2019-12-25 00:00:00,Commercial
Christmas Day,31110.348954999998,2019,2019-12-25 00:00:00,Large
Christmas Day,32124.153415099918,2019,2019-12-25 00:00:00,Residential
Boxing Day,13937.6495632,2019,2019-12-26 00:00:00,Commercial
Boxing Day,33989.627063,2019,2019-12-26 00:00:00,Large
Boxing Day,26803.970191200067,2019,2019-12-26 00:00:00,Residential
New Year’s Day,13534.8444640002,2020,2020-01-01 00:00:00,Commercial
New Year’s Day,33501.320863,2020,2020-01-01 00:00:00,Large
New Year’s Day,25456.522259600053,2020,2020-01-01 00:00:00,Residential
Australia Day,14311.8010545,2020,2020-01-26 00:00:00,Commercial
Australia Day,37980.33656300001,2020,2020-01-26 00:00:00,Large
Australia Day,26663.39636850002,2020,2020-01-26 00:00:00,Residential
Labour Day,13162.021006,2020,2020-03-09 00:00:00,Commercial
Labour Day,36894.50951,2020,2020-03-09 00:00:00,Large
Labour Day,26233.18467800002,2020,2020-03-09 00:00:00,Residential
Good Friday,11183.131108,2020,2020-04-10 00:00:00,Commercial
Good Friday,32365.10136200001,2020,2020-04-10 00:00:00,Large
Good Friday,30652.67054800018,2020,2020-04-10 00:00:00,Residential
Easter Sunday,10762.295146,2020,2020-04-12 00:00:00,Commercial
Easter Sunday,31155.91155,2020,2020-04-12 00:00:00,Large
Easter Sunday,37057.47834300005,2020,2020-04-12 00:00:00,Residential
Easter Monday,11217.659206,2020,2020-04-13 00:00:00,Commercial
Easter Monday,32370.17538,2020,2020-04-13 00:00:00,Large
Easter Monday,32497.054614999804,2020,2020-04-13 00:00:00,Residential
ANZAC Day,11473.95062,2020,2020-04-25 00:00:00,Commercial
ANZAC Day,31821.072346000008,2020,2020-04-25 00:00:00,Large
ANZAC Day,31498.28919899997,2020,2020-04-25 00:00:00,Residential
Queen’s Birthday,13530.020876999999,2020,2020-06-08 00:00:00,Commercial
Queen’s Birthday,33164.48026699999,2020,2020-06-08 00:00:00,Large
Queen’s Birthday,48461.63913199989,2020,2020-06-08 00:00:00,Residential
AFL Grand Final Friday,16396.32324200001,2020,2020-09-25 00:00:00,Commercial
AFL Grand Final Friday,42194.309321,2020,2020-09-25 00:00:00,Large
AFL Grand Final Friday,46268.941515999904,2020,2020-09-25 00:00:00,Residential
Melbourne Cup,13670.388551000011,2020,2020-11-03 00:00:00,Commercial
Melbourne Cup,38389.195946999986,2020,2020-11-03 00:00:00,Large
Melbourne Cup,30714.781678000072,2020,2020-11-03 00:00:00,Residential
Christmas Day,11056.547766,2020,2020-12-25 00:00:00,Commercial
Christmas Day,27502.016739,2020,2020-12-25 00:00:00,Large
Christmas Day,26993.45349400015,2020,2020-12-25 00:00:00,Residential
Boxing Day,12826.838612,2020,2020-12-26 00:00:00,Commercial
Boxing Day,32207.33728399999,2020,2020-12-26 00:00:00,Large
Boxing Day,27468.270329000068,2020,2020-12-26 00:00:00,Residential
