Year,Month,Consumption,Market Type
2019,January,611197.1603585003,Commercial
2019,January,1485294.212051,Large
2019,January,1043221.6422208988,Residential
2019,February,535013.9098762001,Commercial
2019,February,1351424.7008879995,Large
2019,February,817234.5276671004,Residential
2019,March,570688.0768490003,Commercial
2019,March,1457524.2389920002,Large
2019,March,903704.2262298992,Residential
2019,April,505521.4817899375,Commercial
2019,April,1305245.2927509993,Large
2019,April,832380.1233766605,Residential
2019,May,559877.0722469,Commercial
2019,May,1396165.345491,Large
2019,May,1059181.1821819379,Residential
2019,June,562171.9754520007,Commercial
2019,June,1328659.2026089993,Large
2019,June,1239253.8667045021,Residential
2019,July,597868.9260339006,Commercial
2019,July,1384894.8737020006,Large
2019,July,1286839.367115901,Residential
2019,August,600762.9476874998,Commercial
2019,August,1394088.4177349997,Large
2019,August,1293058.7083395624,Residential
2019,September,525740.1346893001,Commercial
2019,September,1307320.6896529996,Large
2019,September,1032759.0907410004,Residential
2019,October,544463.5953452336,Commercial
2019,October,1390134.583144999,Large
2019,October,896961.3936368311,Residential
2019,November,517424.0231689669,Commercial
2019,November,1337206.575654,Large
2019,November,840305.2944004209,Residential
2019,December,544961.8597013009,Commercial
2019,December,1345601.413333001,Large
2019,December,930386.6254546,Residential
2020,January,557686.1019941005,Commercial
2020,January,1389334.3727569997,Large
2020,January,924386.2779752015,Residential
2020,February,528464.0238049999,Commercial
2020,February,1368833.888564,Large
2020,February,804513.111086,Residential
2020,March,508959.5686179998,Commercial
2020,March,1366643.8229880002,Large
2020,March,841388.7029180004,Residential
2020,April,413204.857215,Commercial
2020,April,1169581.4131069998,Large
2020,April,988507.6510260003,Residential
2020,May,471882.71022200014,Commercial
2020,May,1210446.887046,Large
2020,May,1273056.8028610018,Residential
2020,June,518592.3625969999,Commercial
2020,June,1216536.135689,Large
2020,June,1349160.9536150014,Residential
2020,July,536703.0569979998,Commercial
2020,July,1264179.424056,Large
2020,July,1470660.070008,Residential
2020,August,470670.80437700014,Commercial
2020,August,1229062.4846260003,Large
2020,August,1406688.7580180024,Residential
2020,September,428446.05686700006,Commercial
2020,September,1177695.3586879997,Large
2020,September,1058536.8812980014,Residential
2020,October,445826.15778300015,Commercial
2020,October,1237009.059055,Large
2020,October,978909.7776450018,Residential
2020,November,489135.2688630001,Commercial
2020,November,1306003.929672,Large
2020,November,867192.7915160008,Residential
2020,December,494207.78239999997,Commercial
2020,December,1281835.8670370001,Large
2020,December,852610.352232003,Residential
