Year,Month,Region,YoY Consumption Change
2020,January,Metropolitan,-6.94
2020,January,Regional,-10.03
2020,February,Metropolitan,-0.17
2020,February,Regional,0.03
2020,March,Metropolitan,-8.16
2020,March,Regional,-6.52
2020,April,Metropolitan,-4.29
2020,April,Regional,-1.21
2020,May,Metropolitan,-3.26
2020,May,Regional,-0.74
2020,June,Metropolitan,-2.37
2020,June,Regional,-0.59
2020,July,Metropolitan,-1.73
2020,July,Regional,1.80
2020,August,Metropolitan,-8.71
2020,August,Regional,-2.42
2020,September,Metropolitan,-9.90
2020,September,Regional,-4.26
2020,October,Metropolitan,-9.24
2020,October,Regional,-2.83
2020,November,Metropolitan,-4.39
2020,November,Regional,1.87
2020,December,Metropolitan,-8.51
2020,December,Regional,-5.25
